bucket	t	throughput	goodput	batchsize	coldstart	warmstart	coldmodel	models	latency_median	latency_p99	latency_max	warmmodel
48	48.0	8433.616666666667	5539.0	7.626987298174922	0.1	5640.966666666666	6.0	225	93.711338	588.9891867599985	7055.113286	128
49	49.0	8750.116666666667	5946.233333333334	7.654286683533552	0.25	6108.083333333333	14.0	240	93.501615	582.6974425400001	6860.841687	158
50	50.0	10218.833333333334	4117.45	7.500222027057697	0.3333333333333333	4690.383333333333	16.0	414	95.004178	556.6566476199929	4056.157024	197
51	51.0	9092.133333333333	4970.533333333334	7.60019946260991	0.06666666666666667	5177.633333333333	4.0	243	94.445644	625.6877809899997	5737.676802	135
52	52.0	9066.166666666666	5333.966666666666	7.625668480114704	0.13333333333333333	5460.383333333333	8.0	215	94.244351	661.2585628899819	5189.614987	137
53	53.0	8691.85	5526.933333333333	7.608613562730421	0.08333333333333333	5668.383333333333	5.0	217	93.923709	696.4621360000014	5505.211093	147
54	54.0	8473.0	5177.333333333333	7.610463573816304	0.18333333333333332	5321.933333333333	10.0	229	93.9975255	750.5673057300013	4921.201726	144
55	55.0	10166.6	5199.383333333333	7.599268493715227	0.16666666666666666	5499.683333333333	8.0	253	95.000827	607.9422801500043	3065.575995	148
56	56.0	10554.766666666666	5412.966666666666	7.621834474076226	0.016666666666666666	5540.083333333333	1.0	206	95.000408	604.9731874500068	4151.361176	126
57	57.0	10891.8	5711.85	7.623445301430689	0.08333333333333333	5822.2	5.0	203	94.865188	541.1682511400066	7433.520443	116
58	58.0	10619.316666666668	5307.916666666667	7.613402898550724	0.06666666666666667	5429.583333333333	4.0	213	95.000941	582.7952694600017	5483.500446	132
59	59.0	9726.5	5620.75	7.612925616010489	0.1	5742.616666666667	6.0	211	94.4233155	579.7828472299987	4313.078821	136
60	60.0	9503.533333333333	5004.45	7.5460371064149125	0.25	5371.6	11.0	262	94.8872105	588.364640860002	2709.160675	162
61	61.0	8814.15	5584.333333333333	7.591859707982475	0.08333333333333333	5686.566666666667	5.0	204	93.924638	673.7160078400035	2554.378627	134
62	62.0	8773.383333333333	5254.866666666667	7.604830781366818	0.05	5355.916666666667	3.0	202	94.191993	660.5001980399992	5989.472868	150
63	63.0	8947.716666666667	5827.516666666666	7.630000906468452	0.06666666666666667	5930.1	4.0	189	93.978435	586.0937858200001	5717.619765	124
64	64.0	8908.166666666666	5470.9	7.618006409213104	0.1	5579.833333333333	6.0	202	94.0897605	675.1649118499996	3458.495799	141
65	65.0	8767.966666666667	4240.233333333334	7.52707524502262	0.25	4689.716666666666	14.0	261	95.002032	657.77813262	5046.702138	163
66	66.0	8854.95	5412.066666666667	7.648231062100921	0.15	5513.633333333333	9.0	202	94.070041	685.9288083200021	3384.631409	130
67	67.0	8967.1	5747.083333333333	7.628354078732018	0.08333333333333333	5841.15	5.0	194	93.9736625	731.29125525	3636.668409	136
68	68.0	8703.083333333334	5274.25	7.621341449194245	0.15	5381.483333333334	9.0	206	94.071171	720.6263236399999	3983.021811	129
69	69.0	8484.816666666668	5745.883333333333	7.6251680003863	0.1	5850.166666666667	6.0	206	93.642533	684.9829354399996	6491.804906	157
70	70.0	9439.366666666667	5027.266666666666	7.5679959569971516	0.21666666666666667	5437.35	11.0	253	94.4958295	589.6413641000013	3170.563928	161
71	71.0	8866.55	5402.7	7.617661752627078	0.11666666666666667	5520.733333333334	7.0	196	94.051355	715.0634538799911	4846.954891	138
72	72.0	8882.066666666668	5315.7	7.628403895272744	0.016666666666666666	5405.9	1.0	186	94.1460465	717.6957548200004	3387.727152	119
73	73.0	8679.116666666667	5493.416666666667	7.631452991452991	0.08333333333333333	5583.016666666666	5.0	198	93.940596	689.976655939999	3821.981628	137
74	74.0	8589.566666666668	5748.3	7.625823689429061	0.2	5854.75	11.0	209	93.7643475	660.3295956100017	4107.133232	159
75	75.0	8871.8	5460.066666666667	7.5960989879028435	0.21666666666666667	5614.016666666666	13.0	230	93.825022	607.0385140200013	3811.83407	155
76	76.0	8928.183333333332	5730.783333333334	7.623182792087308	0.2	5819.1	12.0	188	93.925287	630.4073413999943	7308.853284	129
77	77.0	9310.0	5587.866666666667	7.588623115800428	0.08333333333333333	5677.3	5.0	184	94.2050815	623.6810299500007	7046.164291	137
78	78.0	8648.4	5428.15	7.562151828362019	0.2833333333333333	5521.35	16.0	204	93.852516	640.4563741299982	7029.529214	136
79	79.0	8655.016666666666	5753.033333333334	7.5831845540362846	0.13333333333333333	5860.766666666666	8.0	210	93.642381	648.656221	2733.759691	148
80	80.0	9697.55	3320.65	7.420666044195456	0.11666666666666667	3860.3	7.0	291	95.005772	590.8625136399984	5205.664664	178
81	81.0	9176.166666666666	4145.416666666667	7.5475783148118865	0.06666666666666667	4257.633333333333	4.0	206	95.002524	672.1993247999982	4921.166306	116
82	82.0	8940.016666666666	4027.3166666666666	7.51683682039605	0.06666666666666667	4107.783333333334	4.0	192	95.00248	696.474771	6441.106715	118
83	83.0	9077.083333333334	3921.85	7.508914662923948	0.0	3997.05	0.0	183	95.003041	653.5938798800003	6715.540538	113
84	84.0	9363.783333333333	4893.883333333333	7.550793414473766	0.03333333333333333	4997.1	2.0	207	94.804804	649.6613973599929	4107.610356	124
85	85.0	9294.066666666668	4954.1	7.545576306867153	0.06666666666666667	5154.833333333333	4.0	235	94.6444475	614.887918769996	2984.001368	151
86	86.0	8788.066666666668	5173.083333333333	7.571204882518839	0.06666666666666667	5277.6	4.0	200	94.1180765	629.7002165199996	4316.434494	138
87	87.0	8647.85	5575.7	7.595452752734404	0.08333333333333333	5674.783333333334	5.0	192	93.85406	594.8308560999991	6566.876847	136
88	88.0	8640.666666666666	5164.75	7.57875937576503	0.05	5244.766666666666	3.0	184	94.132266	680.4458198899997	4013.727909	125
89	89.0	8759.616666666667	5225.05	7.618511945708158	0.11666666666666667	5348.133333333333	7.0	218	94.109872	666.6153479599996	3388.006719	146
90	90.0	9186.1	4719.4	7.611957002363345	0.1	5118.55	6.0	234	95.000651	640.3283632999994	5047.937903	163
91	91.0	8703.983333333334	5080.183333333333	7.6156216420734015	0.08333333333333333	5166.283333333334	5.0	189	94.263991	668.0638842599996	7222.812712	124
92	92.0	8998.366666666667	5353.816666666667	7.600179549744487	0.11666666666666667	5445.15	7.0	180	94.2115255	603.0960160999998	7882.343073	124
93	93.0	8889.533333333333	5407.7	7.6300017776573865	0.06666666666666667	5502.633333333333	4.0	181	94.128914	685.2436525300018	5488.70838	118
94	94.0	9427.266666666666	5368.383333333333	7.630993678801632	0.08333333333333333	5486.65	5.0	218	94.401363	658.3327102000005	3942.622575	131
95	95.0	9114.616666666667	4342.366666666667	7.56811570425246	0.11666666666666667	4833.266666666666	6.0	248	95.002171	649.597164239998	2434.725762	163
96	96.0	9545.35	5669.25	7.650898672937107	0.016666666666666666	5767.05	1.0	196	94.201649	649.4741314000013	3018.98374	126
97	97.0	8895.6	5994.75	7.650080930091327	0.18333333333333332	6101.4	11.0	206	93.7469495	556.0149908000037	5750.101544	138
98	98.0	8808.633333333333	5233.466666666666	7.6340969152554425	0.11666666666666667	5323.133333333333	7.0	196	94.24362	640.6695400700005	10274.687733	139
99	99.0	8928.883333333333	5473.883333333333	7.663715317894642	0.016666666666666666	5572.15	1.0	199	94.054158	646.2701234000031	5062.39764	140
100	100.0	9250.983333333334	4701.233333333334	7.608263219393685	0.06666666666666667	5025.35	4.0	232	95.000811	682.6945603800074	4574.581405	164
101	101.0	9004.85	5183.066666666667	7.621382818775359	0.06666666666666667	5279.966666666666	4.0	203	94.275454	692.4587404999996	3339.018111	124
102	102.0	8804.15	5722.716666666666	7.632327511556959	0.06666666666666667	5843.5	4.0	206	93.829495	694.0345711200006	3087.221299	136
103	103.0	8993.35	5962.65	7.670317797975891	0.1	6063.75	6.0	189	93.802848	670.477933	4294.264378	137
104	104.0	9005.6	5890.866666666667	7.640233538760947	0.16666666666666666	5995.733333333334	10.0	204	93.8201065	632.0741815500006	3190.880914	148
105	105.0	8896.516666666666	5309.416666666667	7.61886822494477	0.06666666666666667	5454.45	4.0	221	94.039425	658.9241118999978	4477.284649	156
106	106.0	8790.916666666666	5165.75	7.639377633022976	0.05	5254.566666666667	3.0	192	94.152796	670.23695552	6981.959985	127
107	107.0	8917.4	5553.2	7.662658569313985	0.11666666666666667	5646.0	7.0	180	94.064293	700.3275798899987	5184.685066	121
108	108.0	8920.433333333332	5274.816666666667	7.675202140722378	0.06666666666666667	5387.166666666667	4.0	216	94.1745195	745.44806175	4171.171664	127
109	109.0	9226.3	5469.633333333333	7.661500436816437	0.23333333333333334	5663.216666666666	14.0	248	94.146874	710.7486062899997	2669.643308	151
110	110.0	10445.45	3289.4333333333334	7.473689073503477	0.2833333333333333	3795.016666666667	16.0	389	95.006092	584.6865260599988	6427.59401	186
111	111.0	9686.683333333332	4702.366666666667	7.5973852387118335	0.1	4839.8	6.0	237	95.001442	681.49612	6259.688889	122
112	112.0	9555.116666666667	4970.466666666666	7.6295681318985995	0.05	5072.75	3.0	216	94.867688	706.06139132	4317.61753	124
113	113.0	9881.733333333334	5580.766666666666	7.674401607893294	0.08333333333333333	5691.383333333333	5.0	221	94.3501175	647.5640693599978	5841.903079	128
114	114.0	11153.266666666666	5283.683333333333	7.7025452002505865	0.06666666666666667	5406.316666666667	3.0	223	95.001979	655.1199879000013	7021.175745	120
115	115.0	11413.016666666666	4887.65	7.604342474581344	0.05	5128.716666666666	3.0	247	95.003589	570.3073037999966	6542.506828	132
116	116.0	11223.083333333334	5545.516666666666	7.64658430171932	0.03333333333333333	5656.783333333334	2.0	204	95.001075	581.5533000000022	5999.736959	124
117	117.0	11168.5	5284.083333333333	7.6499911506222125	0.1	5395.383333333333	6.0	207	95.001917	663.2624548700041	3256.37793	110
118	118.0	10206.566666666668	5062.75	7.640052791853587	0.016666666666666666	5171.516666666666	1.0	206	95.001073	682.9068774899989	4807.848865	116
119	119.0	9164.65	5027.816666666667	7.598480724652751	0.03333333333333333	5153.05	2.0	220	94.537303	719.8568069399973	6177.846076	132
120	120.0	9425.8	4938.883333333333	7.56084320005224	0.05	5268.316666666667	3.0	231	94.9455895	644.168510130005	3122.052196	158
121	121.0	9484.55	5149.8	7.623487535946791	0.03333333333333333	5246.966666666666	2.0	210	94.584758	639.9115573600004	5632.729079	113
122	122.0	9519.766666666666	4870.683333333333	7.603194666076817	0.0	4970.3	0.0	200	95.000325	647.2287627500019	5639.67016	127
123	123.0	9336.733333333334	5247.683333333333	7.635850412889878	0.06666666666666667	5341.35	4.0	200	94.4066245	702.206956779998	6791.810499	114
124	124.0	9404.333333333334	4939.166666666667	7.599822014951984	0.05	5046.316666666667	3.0	214	94.8201715	680.9989811000005	3966.505608	125
125	125.0	9817.916666666666	4234.45	7.520787205407445	0.15	4651.283333333334	8.0	265	95.003655	630.4470034000007	3741.099084	162
126	126.0	9242.633333333333	5287.416666666667	7.604351821692801	0.03333333333333333	5381.183333333333	2.0	190	94.2771935	686.8989179900001	4061.370539	126
127	127.0	9408.8	5568.316666666667	7.608133757838239	0.05	5665.7	3.0	203	94.2190435	656.6631720199999	3609.626639	119
128	128.0	9315.283333333333	5105.7	7.614262967226538	0.1	5201.083333333333	6.0	206	94.558802	662.9590587599996	6370.97165	126
129	129.0	9211.183333333332	5415.85	7.626270782104452	0.15	5535.483333333334	9.0	216	94.236111	661.5007421000006	3621.597653	136
130	130.0	9825.4	4480.683333333333	7.586378395896567	0.1	4942.866666666667	6.0	255	95.00291	634.1543739900014	2904.536753	159
131	131.0	9559.766666666666	5178.9	7.631212358795012	0.03333333333333333	5296.883333333333	2.0	212	94.628421	641.1628952500025	5607.51981	115
132	132.0	9545.866666666667	5035.783333333334	7.57878767569807	0.06666666666666667	5123.583333333333	4.0	189	94.753477	651.3805789199998	4835.715875	117
133	133.0	9362.033333333333	5721.05	7.600666768021197	0.08333333333333333	5819.183333333333	5.0	188	94.096517	525.9918386400002	9255.978259	113
134	134.0	9305.7	5094.433333333333	7.565607518664483	0.06666666666666667	5208.383333333333	4.0	223	94.5297905	595.6906107899988	10035.105156	134
135	135.0	9394.0	5373.216666666666	7.5683886482783524	0.15	5518.65	9.0	217	94.229929	525.1040690199978	9664.965831	143
136	136.0	9379.366666666667	4836.233333333334	7.569093322214831	0.0	4915.666666666667	0.0	185	94.8885275	627.5050568800023	10079.132966	111
137	137.0	9119.833333333334	5000.533333333334	7.606683535252983	0.016666666666666666	5084.033333333334	1.0	193	94.497727	667.3278062099993	12387.222211	121
138	138.0	9080.966666666667	5260.066666666667	7.621401674013527	0.1	5347.533333333334	6.0	208	94.352453	630.1962083900037	9685.911287	120
139	139.0	8887.933333333332	4912.216666666666	7.602754277476384	0.03333333333333333	5025.116666666667	2.0	223	94.472562	608.5901735	10329.125266	121
140	140.0	10349.1	4207.416666666667	7.523902461653672	0.11666666666666667	4772.633333333333	7.0	308	95.004063	257.1076917000009	6972.376062	174
